 	Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1	5136	2634	5136	1556	102720	20	0	20	20	20	502.100	272.055	6.848	11.636	3.718	11.377	502.100	272.055	6.848	478	259	1	43	25	12
2	3665	2456	3665	1400	36650	10	0	10	10	10	311.882	232.128	6.405	10.931	4.068	10.602	311.882	232.128	6.405	290	216	2	42	30	10
3	2669	1724	2669	1069	144126	54	0	54	54	54	353.938	228.916	6.720	9.856	3.694	9.455	353.943	228.916	6.720	335	220	2	36	18	10
4	2318	1538	2318	935	25498	11	0	11	11	11	438.284	234.782	5.829	8.725	2.720	8.776	438.284	234.782	5.829	427	224	2	26	21	9
5	5864	3278	5864	2068	99688	17	0	17	17	17	385.536	252.178	6.700	13.317	4.908	12.645	385.521	252.177	6.700	372	227	2	32	48	10
6	1594	1052	1594	675	22316	14	0	14	14	14	345.011	241.846	6.164	7.256	1.841	7.284	345.011	241.846	6.164	335	233	2	18	19	9
7	3368	1684	3368	1111	53888	16	0	16	16	16	362.958	248.681	6.629	9.289	2.082	9.658	362.958	248.681	6.629	351	237	2	22	24	11
8	1989	1490	1989	883	1989	1	0	1	1	1	402.652	245.487	5.964	8.577	2.902	8.474	402.652	245.487	5.964	394	232	2	24	27	10
9	1284	916	1284	581	2568	2	0	2	2	2	433.539	252.586	5.540	6.676	1.726	7.040	433.539	252.586	5.540	427	245	2	16	17	8
10	1481	1108	1481	675	26658	18	0	18	18	18	418.129	255.666	5.739	7.331	2.206	7.354	418.129	255.666	5.739	409	242	2	17	24	8
11	3261	1816	3261	1223	185877	57	0	57	57	57	373.214	271.527	6.743	9.695	2.742	9.932	373.209	271.527	6.743	362	260	2	23	29	10
12	3048	1818	3048	1156	176784	58	0	58	58	58	411.831	276.710	6.876	9.520	2.691	9.576	411.823	276.710	6.876	403	265	2	23	26	11
13	3765	2268	3765	1365	222135	59	0	59	59	59	436.909	284.039	7.164	10.643	3.492	10.675	436.914	284.039	7.164	427	268	2	23	35	11
14	1755	1212	1755	762	105300	60	0	60	60	60	416.298	293.087	7.173	7.953	2.589	7.822	416.298	293.087	7.173	402	285	2	24	16	11
15	4286	3052	4286	1691	552894	129	0	129	129	129	371.250	294.223	7.343	12.276	4.731	11.686	371.248	294.221	7.343	349	282	2	43	32	11
16	6678	3802	6678	2303	434070	65	0	65	65	65	402.673	318.011	7.353	13.874	4.899	13.854	402.667	318.012	7.353	382	301	2	40	43	11
